"tick","Healthy Count","Infected Count"
1.0,99,21
2.0,99,21
3.0,99,21
4.0,98,22
5.0,97,23
6.0,97,23
7.0,96,24
8.0,95,25
9.0,92,28
10.0,91,29
11.0,91,29
12.0,89,31
13.0,88,32
14.0,86,34
15.0,85,35
16.0,85,35
17.0,85,35
18.0,84,36
19.0,84,36
20.0,84,36
21.0,82,38
22.0,81,39
23.0,81,39
24.0,81,39
25.0,81,39
26.0,81,39
27.0,79,41
28.0,79,41
29.0,79,41
30.0,79,41
31.0,78,42
32.0,77,43
33.0,76,44
34.0,75,45
35.0,73,47
36.0,72,48
37.0,72,48
38.0,71,49
39.0,68,52
40.0,68,52
41.0,68,52
42.0,67,53
43.0,66,54
44.0,63,57
45.0,63,57
46.0,61,59
47.0,61,59
48.0,61,59
49.0,60,60
50.0,60,60
51.0,60,60
52.0,59,61
53.0,58,62
54.0,58,62
55.0,55,65
56.0,55,65
57.0,54,66
58.0,53,67
59.0,50,70
60.0,50,70
61.0,50,70
62.0,49,71
63.0,49,71
64.0,45,75
65.0,44,76
66.0,44,76
67.0,44,76
68.0,44,76
69.0,42,78
70.0,41,79
71.0,41,79
72.0,40,80
73.0,39,81
74.0,38,82
75.0,37,83
76.0,36,84
77.0,34,86
78.0,31,89
79.0,30,90
80.0,29,91
81.0,27,93
82.0,27,93
83.0,27,93
84.0,27,93
85.0,27,93
86.0,27,93
87.0,25,95
88.0,23,97
89.0,23,97
90.0,23,97
91.0,23,97
92.0,22,98
93.0,22,98
94.0,22,98
95.0,22,98
96.0,22,98
97.0,21,99
98.0,21,99
99.0,21,99
100.0,21,99
101.0,21,99
102.0,21,99
103.0,21,99
104.0,21,99
105.0,20,100
106.0,20,100
107.0,20,100
108.0,20,100
109.0,19,101
110.0,18,102
111.0,18,102
112.0,18,102
113.0,18,102
114.0,18,102
115.0,17,103
116.0,17,103
117.0,17,103
118.0,16,104
119.0,16,104
120.0,15,105
121.0,15,105
122.0,15,105
123.0,15,105
124.0,15,105
125.0,15,105
126.0,15,105
127.0,15,105
128.0,15,105
129.0,15,105
130.0,14,106
131.0,14,106
132.0,13,107
133.0,13,107
134.0,13,107
135.0,13,107
136.0,13,107
137.0,12,108
138.0,12,108
139.0,11,109
140.0,10,110
141.0,10,110
142.0,10,110
143.0,9,111
144.0,9,111
145.0,9,111
146.0,7,113
147.0,7,113
148.0,6,114
149.0,6,114
150.0,6,114
151.0,6,114
152.0,6,114
153.0,6,114
154.0,6,114
155.0,6,114
156.0,6,114
157.0,6,114
158.0,6,114
159.0,6,114
160.0,6,114
161.0,6,114
162.0,6,114
163.0,6,114
164.0,6,114
165.0,6,114
166.0,6,114
167.0,6,114
168.0,6,114
169.0,6,114
170.0,6,114
171.0,6,114
172.0,6,114
173.0,6,114
174.0,6,114
175.0,6,114
176.0,6,114
177.0,6,114
178.0,6,114
179.0,5,115
180.0,5,115
181.0,5,115
182.0,4,116
183.0,4,116
184.0,4,116
185.0,4,116
186.0,4,116
187.0,4,116
188.0,3,117
189.0,2,118
190.0,2,118
191.0,2,118
192.0,2,118
193.0,2,118
194.0,2,118
195.0,2,118
196.0,2,118
197.0,2,118
198.0,2,118
199.0,2,118
200.0,2,118
201.0,2,118
202.0,2,118
203.0,2,118
204.0,2,118
205.0,2,118
206.0,2,118
207.0,2,118
208.0,2,118
209.0,2,118
210.0,1,119
211.0,1,119
212.0,1,119
213.0,1,119
214.0,1,119
215.0,1,119
216.0,1,119
217.0,1,119
218.0,0,120
219.0,0,120
220.0,0,120
221.0,0,120
222.0,0,120
223.0,0,120
224.0,0,120
225.0,0,120
226.0,0,120
227.0,0,120
228.0,0,120
229.0,0,120
230.0,0,120
231.0,0,120
232.0,0,120
233.0,0,120
234.0,0,120
235.0,0,120
236.0,0,120
237.0,0,120
238.0,0,120
239.0,0,120
240.0,0,120
241.0,0,120
242.0,0,120
243.0,0,120
244.0,0,120
245.0,0,120
246.0,0,120
247.0,0,120
248.0,0,120
249.0,0,120
250.0,0,120
251.0,0,120
252.0,0,120
253.0,0,120
254.0,0,120
255.0,0,120
256.0,0,120
257.0,0,120
258.0,0,120
259.0,0,120
260.0,0,120
261.0,0,120
262.0,0,120
263.0,0,120
264.0,0,120
265.0,0,120
266.0,0,120
267.0,0,120
268.0,0,120
269.0,0,120
270.0,0,120
271.0,0,120
272.0,0,120
273.0,0,120
274.0,0,120
275.0,0,120
276.0,0,120
277.0,0,120
278.0,0,120
279.0,0,120
280.0,0,120
281.0,0,120
282.0,0,120
283.0,0,120
284.0,0,120
285.0,0,120
286.0,0,120
287.0,0,120
288.0,0,120
289.0,0,120
290.0,0,120
291.0,0,120
292.0,0,120
293.0,0,120
294.0,0,120
295.0,0,120
296.0,0,120
297.0,0,120
298.0,0,120
299.0,0,120
300.0,0,120
301.0,0,120
302.0,0,120
303.0,0,120
304.0,0,120
305.0,0,120
306.0,0,120
307.0,0,120
308.0,0,120
309.0,0,120
310.0,0,120
311.0,0,120
312.0,0,120
313.0,0,120
314.0,0,120
315.0,0,120
316.0,0,120
317.0,0,120
318.0,0,120
319.0,0,120
320.0,0,120
321.0,0,120
322.0,0,120
323.0,0,120
324.0,0,120
325.0,0,120
326.0,0,120
327.0,0,120
328.0,0,120
329.0,0,120
330.0,0,120
331.0,0,120
332.0,0,120
333.0,0,120
334.0,0,120
335.0,0,120
336.0,0,120
337.0,0,120
338.0,0,120
339.0,0,120
340.0,0,120
341.0,0,120
342.0,0,120
343.0,0,120
344.0,0,120
345.0,0,120
346.0,0,120
347.0,0,120
348.0,0,120
349.0,0,120
350.0,0,120
351.0,0,120
352.0,0,120
353.0,0,120
354.0,0,120
355.0,0,120
356.0,0,120
357.0,0,120
358.0,0,120
359.0,0,120
360.0,0,120
361.0,0,120
362.0,0,120
363.0,0,120
